title,website,operator_address,acc_address,cons_address,percent_power,power,self_stake,fee,blocks_proposed,delegators,power_24_change,governance_votes
FreshATOMS.com,https://freshatoms.com,cosmosvaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjkfg0gh,cosmos17h2x3j7u44qkrq0sk8ul0r2qr440rwgjnau6yy,21223475CE86F3C7CD5E985AA88FC24A29C97813,0.2,381592.217844,500,0.0299,22468,1438,34.590735,19
🐡grant.fish,http://grant.fish,cosmosvaloper1xym2qygmr9vanpa0m7ndk3n0qxgey3ffzcyd5c,cosmos1xym2qygmr9vanpa0m7ndk3n0qxgey3ff8vscct,24935D59FAA94E793652CBF4716C6041CD7AA400,0.2,384731.989932,100000,1,16803,182,240.0857,10
Huobi,https://www.huobi.com,cosmosvaloper1kn3wugetjuy4zetlq6wadchfhvu3x740ae6z6x,cosmos1kn3wugetjuy4zetlq6wadchfhvu3x740cdwhk4,8FE3CFFA6A07B093E441BB84DA1B6DABF53AFA2D,0.19,356396.626946,1,0.04,76643,294,30.177852,1
WeStaking,https://www.westaking.io,cosmosvaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapvtfc9y5,cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,68F5BBEACEF114C720EA9C98BFA2FFDE01C54FD1,0.17,315174.530397,35000,0.03,31709,2372,540.821339,29
DEBO,,cosmosvaloper1z66j0z75a9flwnez7sa8jxx46cqu4rfhd9q82w,cosmos1z66j0z75a9flwnez7sa8jxx46cqu4rfhg35jxa,05859E9862A6680DBEAB510362C10B1661B9743A,0.17,317506.356156,10001,0.02,69864,1537,121.963751,24
zoomerlabs,https://www.zoomerlabs.com/,cosmosvaloper1urxrvt5dmkqpe50gwrerjly2z6nvk9exjz2j3h,cosmos1urxrvt5dmkqpe50gwrerjly2z6nvk9exhk78ay,A47115C09F846F46F499F381B35B452725204987,0.15,286700.7849607507577237,502.0502050122501947,0.1,6688,159,0.002,6
天照☀,,cosmosvaloper1dt93l3qgmhhlp97srjyqyendrgu9nx0suxtwe8,cosmos1dt93l3qgmhhlp97srjyqyendrgu9nx0sejlm45,8011772ED7DDF2CC9CD7A48C8C0AA2486E9F4E97,0.15,280926.6782593340599796,128.0128011908508233,0.0099,3927,318,-5639.908992,21
Genesis Lab,https://genesislab.net,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,2B9A55D3BF93D7375DD207B75C5ED4D2B91D9146,0.14,262405.795651,510.317,0.07,17863,379,-16.414522,21
HashQuark,https://www.hashquark.io,cosmosvaloper1cgh5ksjwy2sd407lyre4l3uj2fdrqhpkzp06e6,cosmos1cgh5ksjwy2sd407lyre4l3uj2fdrqhpk84m04f,B0765A2F6FCC11D8AC46275FAC06DD35F54217C1,0.14,263116.39975,7,0.1,31172,585,-0.0955,0
DeFi Wallet,https://crypto.com/en/defi/wallet/,cosmosvaloper1keltez56g3zm9w8wr8gcmmulze48g2q3usuw8c,cosmos1keltez56g3zm9w8wr8gcmmulze48g2q3eygmtt,CC5CE2418DA85C78D7F89FECAAB08DDCE314C0CC,0.14,259374.703901,2,0.07,4819,5219,-1077.905235,5
omega3,,cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,cosmos1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6g996zm,5731848E19257705AA28CC7EFAA8C708EE014D52,0.13,239912.543599,1,0.2,13001,35,0.002,10
Mythos,https://mythos.services,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,cosmos1w0330zv7quttes76vmdhda3tnz045uqs526u2u,F80083B183C4019925C72B5F482F2246AC2D4394,0.13,248441.294558,10,0.15,9900,50,0.002,0
Wolf 1,,cosmosvaloper1v6fqxzhzvvjgqmcreffvvvazvws46pwcvyaw4x,cosmos1v6fqxzhzvvjgqmcreffvvvazvws46pwcfsfme4,9DEEBCA40A6E9B78E97E44026D5B42C2F042E0EC,0.13,242001.954462,2,1,1752,13,0.002,0
Stargaze,https://replicator.network,cosmosvaloper1et77usu8q2hargvyusl4qzryev8x8t9wwqkxfs,cosmos1et77usu8q2hargvyusl4qzryev8x8t9wt5zn9r,8C8802A921114169D2581CD46E3CA6853F6F2A7F,0.13,255345.4388623539926681,25136.158008,0.1,7717,2845,619.246707,15
firstblock,https://firstblock.io,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,cosmos1s65zmn32zugl57ysj47s7vmfcek0rtd7jd2mp2,732CEEF54C374DDC6ADECBFD707AEFD07FEDC143,0.13,255535.8237189163633483,1.0269270048689328,0.2,11093,61,20.09575,0
noma,,cosmosvaloper1r8kyvg4me2upnvlk26n2ay0zd5t4jktna8hhxp,cosmos1r8kyvg4me2upnvlk26n2ay0zd5t4jktncnrz2j,2C528D2345ED6E953C1C0819E2C3A01ABFCBA557,0.13,245233.234925,1,0.2,13273,42,0.002,10
vAligators,,cosmosvaloper1dqp325was50l7ut2lnx6s8xhmtwj3wrtx06gzu,cosmos1dqp325was50l7ut2lnx6s8xhmtwj3wrtrmwaw0,F9449693BE48294ECFFF47F5AFB3C31C1DFAB313,0.12,233897.003571,1,0.1,211,14,0.002,0
BlockMatrix 🚀,https://blockmatrix.network,cosmosvaloper1n5pu2rtz4e2skaeatcmlexza7kheedzh8a2680,cosmos1n5pu2rtz4e2skaeatcmlexza7kheedzhzf70tu,B34591DA79AAD0213534E2E915F50DE5CDBDF250,0.12,237224.5685687376972697,3.557908,0.15,17928,39,0.002,0
2nd only to Certus One in GoS,https://wallet.keplr.app/#/cosmoshub/stake?modal=detail&validator=cosmosvaloper1rcp29q3hpd246n6qak7jluqep4v006cdsc2kkl,cosmosvaloper1rcp29q3hpd246n6qak7jluqep4v006cdsc2kkl,cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,000001E443FD237E4B616E2FA69DF4EE3D49A94F,0.12,239276.230851,10000,1,12934,64,0.002,16
#decentralizehk,https://decentralizehk.org/,cosmosvaloper1m73mgwn3cm2e8x9a9axa0kw8nqz8a492ms63vn,cosmos1m73mgwn3cm2e8x9a9axa0kw8nqz8a4927ywyqq,6BD4705021332A90B92397D8D72CA3950CB858EB,0.11,215698.4856109512472099,60.6276626877448084,0.05,2426,1371,1741.339575,10
blockscape,https://blockscape.network/,cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,48FD560D3CB0B552924CBC0F9C2BA68883FA1135,0.11,215482.797476,5063.951657,0.05,7666,114,46.397461,22
Wetez,https://www.wetez.io,cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,4C92230FAC162303D981C06DD22663A4FC7622BC,0.11,220053.457544,321.000928,0.1,21219,108,3079.53123,3
Cosmic Validator,https://cosmicvalidator.com/,cosmosvaloper1de7qx00pz2j6gn9k88ntxxylelkazfk3g8fgh9,cosmos1de7qx00pz2j6gn9k88ntxxylelkazfk3dnaamk,407F144D1C9DEA4EE6A8CBC2D4C022A657506B83,0.11,216193.8834414206961302,3818.5575367871004561,0.25,17235,212,-71.778311,26
lunamint,https://lunamint.com,cosmosvaloper1ec3p6a75mqwkv33zt543n6cnxqwun37rr5xlqv,cosmos1ec3p6a75mqwkv33zt543n6cnxqwun37rxqj2vl,70C5B4E6779C59A24CFD9146581E27021C2AEC26,0.1,187002.562928,10,0.15,34488,3269,9.002,15
