time,value
1636909200,1906.793859
1636912800,1709.393408
1636916400,4164.164895
1636920000,4008.956568
1636923600,5033.008295
1636927200,4956.390355
1636930800,1531.153246
1636934400,3794.549588
1636938000,3503.239756
1636941600,6312.652701
1636945200,1459.096249
1636948800,453.01393
1636952400,2223.730501
1636956000,9011.211941
1636959600,1186.378701
1636963200,1741.798185
1636966800,8452.462686
1636970400,3215.730246
1636974000,1435.99024
1636977600,2918.946988
1636981200,1224.915575
1636984800,1523.72351
1636988400,3271.442471
1636992000,3051.599337
1636995600,4677.288924
1636999200,1655.260705
1637002800,53293.565086
1637006400,50633.271066
1637010000,526.883644
1637013600,8165.185581
1637017200,16845.800622
1637020800,1956.966102
1637024400,2778.799155
1637028000,10666.455257
1637031600,4452.010963
1637035200,776.622794
1637038800,1147.38665
1637042400,2202.030813
1637046000,56683.782446
1637049600,76276.302082
1637053200,3879.338773
1637056800,8252.509228
1637060400,12690.498121
1637064000,11308.552854
1637067600,454.285642
1637071200,1528.777554
1637074800,4964.831114
1637078400,965.924267
1637082000,3417.70748
1637085600,6904.198893
1637089200,6627.560012
1637092800,2360.994253
1637096400,594118.762215
1637100000,5750.647903
1637103600,601.972182
1637107200,1423.850688
1637110800,1618.986268
1637114400,691.750577
1637118000,7738.930286
1637121600,3830.101832
1637125200,1399.351537
1637128800,2440.955094
1637132400,13966.130972
1637136000,609.522064
1637139600,336.747401
1637143200,2874.089664
1637146800,6667.941214
1637150400,1171.53246
1637154000,369094.263794
1637157600,754.157126
1637161200,721.968562
1637164800,910.486125
1637168400,3166.471193
1637172000,1773.642988
1637175600,2716.122843
1637179200,13058.530728
1637182800,328.044533
1637186400,4727.396681
1637190000,2252.708526
1637193600,1507.255236
1637197200,1022.931318
1637200800,1035.50963
1637204400,1415.752463
1637208000,830.896055
1637211600,476.041915
1637215200,2058.634831
1637218800,442.843647
1637222400,1763.389051
1637226000,647.417143
1637229600,3257.960529
1637233200,249.349844
1637236800,1709.101772
1637240400,823.168929
1637244000,1377.146857
1637247600,53394.192356
1637251200,1092.2098
1637254800,4328.612765
1637258400,1296.829835
1637262000,603.81995
1637265600,525.682866
1637269200,1702.857405
1637272800,9578.144519
1637276400,1792.120248
1637280000,804.100127
1637283600,1989.767596
1637287200,10221.683599
1637290800,1431.393618
1637294400,1802.589822
1637298000,1109.943709
1637301600,306.113539
1637305200,39170.00296
1637308800,1807.880602
1637312400,2255.650314
1637316000,1170.617296
1637319600,3341.262783
1637323200,4220.785422
1637326800,2754.203296
1637330400,4372.867114
1637334000,2637.263427
1637337600,2804.172224
1637341200,738.632132
1637344800,5662.417017
1637348400,2802.476644
1637352000,5929.356279
1637355600,5260.779861
1637359200,279.030295
1637362800,1629.314174
1637366400,1092.568367
1637370000,1291.757295
1637373600,874.15394
1637377200,631.482817
1637380800,2141.84912
1637384400,629.355685
1637388000,3531.217008
1637391600,409.004846
1637395200,1581.640265
1637398800,357.644579
1637402400,2147.661835
1637406000,6691.954442
1637409600,440.38154
1637413200,566.655396
1637416800,158349.005478
1637420400,481756.050899
1637424000,2175.024171
1637427600,2162.50258
1637431200,1536.551426
1637434800,1491.86307
1637438400,2639.399734
1637442000,17677.603047
1637445600,448.603284
1637449200,1848.755816
1637452800,1320.616382
1637456400,192488.857423
1637460000,997.610682
1637463600,1008.19381
1637467200,1201.27234
1637470800,237.793026
1637474400,561.418043
1637478000,2262.858025
1637481600,1014.85382
1637485200,5612.674452
1637488800,599.430784
1637492400,3794.137762
1637496000,1359.657339
1637499600,15854.261584
1637503200,546.654372
1637506800,1006.281728
1637510400,26639.011202
1637514000,3338.8797
1637517600,5270.05314
1637521200,2035.708007
1637524800,3334.660334
1637528400,3246.293637
1637532000,8120.640635
1637535600,2158.925129
1637539200,656.646565
1637542800,2649.389134
1637546400,1681.140571
1637550000,30299.909942
1637553600,2021.433434
1637557200,1365.744768
1637560800,154.500467
1637564400,20471.676915
1637568000,1574.345963
1637571600,113.291263
1637575200,438.081563
1637578800,2675.373536
1637582400,1188.292572
1637586000,1411.146789
1637589600,2469.675164
1637593200,5907.250507
1637596800,2562.485253
1637600400,2021.710525
1637604000,118660.436307
1637607600,5060.967099
1637611200,1539.586108
1637614800,3033.657512
1637618400,2757.862852
1637622000,1821.475099
1637625600,952.921763
1637629200,2557.590378
1637632800,10990.451825
1637636400,1063.825933
1637640000,1568.570565
1637643600,1014.131463
1637647200,760.198294
1637650800,329.748663
1637654400,270.141894
1637658000,460.830235
1637661600,4703.851299
1637665200,763.474465
1637668800,695.829788
1637672400,579.713819
1637676000,5811.712356
1637679600,38135.248256
1637683200,10398.835625
1637686800,897.865547
1637690400,816.826491
1637694000,3633.421069
1637697600,8407.300819
1637701200,3362.907784
1637704800,1708.122207
1637708400,803.157143
1637712000,326.529956
1637715600,2086.34135
1637719200,1665.034855
1637722800,707.3287
